Method,Representative_Gene,P_Value,Is_Ground_Truth,Cluster_Size,Cluster_ID,All_Genes_In_Cluster
CRT-logit,SNORA67,6.187976502435723e-48,False,1,98,SNORA67
CRT-logit,U3,1.923064984440189e-38,False,1,24,U3
CRT-logit,snoU13,1.5869906361215235e-29,False,1,199,snoU13
CRT-logit,snoU13,5.446238610483721e-25,False,1,250,snoU13
CRT-logit,U3,4.5996850026827886e-24,False,6,607,U3;U3;U3;U3;U3;U3
CRT-logit,FREM1,2.543948501742433e-22,True,19,792,TYRP1;RN7SL849P;LURAP1L;MPDZ;LINC00583;NFIB;ZDHHC21;CER1;FREM1;TTC39B;SNAPC3;PSIP1;RN7SL98P;CCDC171;C9orf92;BNC2;RN7SL720P;CNTLN;SH3GL2
CRT-logit,KLHL13,2.57307632082047e-20,True,67,601,KLHL13;WDR44;MIR1277;DOCK11;IL13RA1;ZCCHC12;LONRF3;KIAA1210;PGRMC1;SLC25A43;RN7SL118P;SLC25A5;UBE2A;CXorf56;NKRF;SEPT2;SEPT6;MIR766;SOWAHD;RPL39;SNORA69;SNORA69;UPF3B;RNF113A;NDUFA1;AKAP14;NKAP;RHOXF2B;RHOXF1;RHOXF2;NKAPP1;ZBTB33;TMEM255A;ATP1B4;LAMP2;CUL4B;MCTS1;C1GALT1C1;CT47B1;CT47A12;CT47A11;CT47A10;CT47A9;CT47A8;CT47A7;CT47A6;CT47A5;CT47A4;CT47A3;CT47A2;CT47A1;GLUD2;MIR3672;GRIA3;THOC2;RN7SL190P;XIAP;STAG2;SH2D1A;TENM1;DCAF12L2;DCAF12L1;CXorf64;ACTRT1;RNA5SP513;SMARCA1;OCRL
CRT-logit,MIR4258,2.0745562192221834e-18,False,37,559,MIR4258;FLAD1;LENEP;ZBTB7B;DCST2;DCST1;ADAM15;EFNA4;EFNA3;EFNA1;SLC50A1;DPM3;KRTCAP2;TRIM46;MUC1;MIR92B;THBS3;MTX1;GBAP1;GBA;FAM189B;SCAMP3;CLK2;HCN3;PKLR;FDPS;RUSC1;ASH1L;MIR555;MSTO1;YY1AP1;DAP3;GON4L;SYT11;RIT1;KIAA0907;SNORA42
CRT-logit,MAPK1,3.700849516397319e-17,False,31,325,MAPK1;RNA5SP493;PPM1F;TOP3B;PRAMEF24P;VPREB1;ZNF280B;ZNF280A;PRAME;POM121L1P;GGTLC2;MIR650;IGLL5;IGLJ1;IGLC1;IGLJ2;IGLC2;IGLJ3;IGLC3;IGLJ4;IGLJ5;IGLJ6;IGLJ7;IGLC7;RTDR1;GNAZ;RAB36;BCR;RN7SL263P;ZDHHC8P1;CES5AP1
CRT-logit,PPP2R2D,5.232971621099552e-17,False,29,400,PPP2R2D;BNIP3;JAKMIP3;DPYSL4;STK32C;LRRC27;PWWP2B;C10orf91;INPP5A;TTC40;GPR123;KNDC1;UTF1;VENTX;MIR202;ADAM8;TUBGCP2;ZNF511;CALY;PRAP1;FUOM;ECHS1;MIR3944;PAOX;MTG1;SPRN;CYP2E1;SYCE1;FRG2B
CRT-logit,PROKR2,7.79478771117454e-17,True,88,720,SNORD56;SNORD56;SNORD56;SNORD57;IDH3B;EBF4;CPXM1;C20orf141;TMEM239;PCED1A;VPS16;PTPRA;GNRH2;MRPS26;OXT;AVP;RN7SL555P;UBOX5;FASTKD5;LZTS3;DDRGK1;ITPA;SLC4A11;C20orf194;ATRN;GFRA4;ADAM33;SIGLEC1;HSPA12B;C20orf27;SPEF1;CENPB;CDC25B;AP5S1;MAVS;PANK2;MIR103A2;RNF24;SMOX;ADRA1D;PRNP;PRND;PRNT;RASSF2;SLC23A2;TMEM230;RNA5SP474;PCNA;CDS2;PROKR2;LINC00658;LINC00654;GPCPD1;C20orf196;CHGB;TRMT6;MCM8;RN7SL498P;CRLS1;LRRN4;FERMT1;BMP2;RN7SL547P;HAO1;TMX4;PLCB1;RNU105B;PLCB4;LAMP5;PAK7;ANKEF1;SNAP25;MKKS;SLX4IP;JAG1;LINC00687;RN7SKP111;BTBD3;SPTLC3;ISM1;TASP1;ESF1;NDUFAF5;SEL1L2;MACROD2;RN7SL864P;FLRT3;RNA5SP475
CRT-logit,LINC00545,1.155092870906038e-16,False,4,828,LINC00545;LINC00551;LINC00565;LINC00593
